CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
163253 - DIFFERENTIAL-RE - REAR,16,3253 - DIFFERENTIAL-RE - REAR,13004.0.CCNP.0 Differential,1613004.0.CCNP.0 Differential
16,16,,13012.RLF.CNC.0 Spindle,1613012.RLF.CNC.0 Spindle
16,16,,13012.RLR.CNC.0 Spindle,1613012.RLR.CNC.0 Spindle
16,16,,13012.RRF.CNC.0 Spindle,1613012.RRF.CNC.0 Spindle
16,16,,13012.RRR.CNC.0 Spindle,1613012.RRR.CNC.0 Spindle
165207 - CIRCLE DRIVE-00 - (NONE),16,5207 - CIRCLE DRIVE-00 - (NONE),13201.0.CNC.0 Circle Drive Box,1613201.0.CNC.0 Circle Drive Box
164251 - SERVICE BRAKE-LF - LEFT FRONT,16,4251 - SERVICE BRAKE-LF - LEFT FRONT,14001.FL.CNC.0 Brake,1614001.FL.CNC.0 Brake
164251 - SERVICE BRAKE-RF - RIGHT FRONT,16,4251 - SERVICE BRAKE-RF - RIGHT FRONT,14001.FR.CNC.0 Brake,1614001.FR.CNC.0 Brake
164251 - SERVICE BRAKE-LR - LEFT REAR,16,4251 - SERVICE BRAKE-LR - LEFT REAR,14001.RL.CNC.0 Brake,1614001.RL.CNC.0 Brake
164251 - SERVICE BRAKE-RR - RIGHT REAR,16,4251 - SERVICE BRAKE-RR - RIGHT REAR,14001.RR.CNC.0 Brake,1614001.RR.CNC.0 Brake
165265 - ARTICULATION CYLINDER-LT - LEFT,16,5265 - ARTICULATION CYLINDER-LT - LEFT,15000.LH.CNCNP.0 Articulation Cylinder,1615000.LH.CNCNP.0 Articulation Cylinder
165265 - ARTICULATION CYLINDER-LT - LEFT,16,5265 - ARTICULATION CYLINDER-LT - LEFT,15000.RH.CNCNP.0 Articulation Cylinder,1615000.RH.CNCNP.0 Articulation Cylinder
165223 - CENTERSHIFT CYLINDER-00 - (NONE),16,5223 - CENTERSHIFT CYLINDER-00 - (NONE),15001.0.CNCNP.0 Blade Centre Shift Cylinder,1615001.0.CNCNP.0 Blade Centre Shift Cylinder
165113 - BLADE LIFT CYLINDER-LT - LEFT,16,5113 - BLADE LIFT CYLINDER-LT - LEFT,15002.LH.CNCNP.0 Blade Lift Cylinder,1615002.LH.CNCNP.0 Blade Lift Cylinder
165113 - BLADE LIFT CYLINDER-RI - RIGHT,16,5113 - BLADE LIFT CYLINDER-RI - RIGHT,15002.RH.CNCNP.0 Blade Lift Cylinder,1615002.RH.CNCNP.0 Blade Lift Cylinder
165804 - SIDE SHIFT CYLINDER-00 - (NONE),16,5804 - SIDE SHIFT CYLINDER-00 - (NONE),15003.0.CNCNP.0 Blade Side Shift Cylinder,1615003.0.CNCNP.0 Blade Side Shift Cylinder
165104 - TILT CYLINDER-00 - (NONE),16,5104 - TILT CYLINDER-00 - (NONE),15004.0.CNCNP.0 Blade Tilt Cylinder,1615004.0.CNCNP.0 Blade Tilt Cylinder
165352 - RIPPER LIFT CYLINDER-00 - (NONE),16,5352 - RIPPER LIFT CYLINDER-00 - (NONE),15024.CR.CNCNP.0 Ripper Lift Cylinder,1615024.CR.CNCNP.0 Ripper Lift Cylinder
164303 - STEERING CYLINDER-LT - LEFT,16,4303 - STEERING CYLINDER-LT - LEFT,15026.LH.CNC.0 Steering Cylinder,1615026.LH.CNC.0 Steering Cylinder
164303 - STEERING CYLINDER-RI - RIGHT,16,4303 - STEERING CYLINDER-RI - RIGHT,15026.RH.CNC.0 Steering Cylinder,1615026.RH.CNC.0 Steering Cylinder
