AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
1701353LT,1701353LT,1353,LT,6040,170,1353 - RADIATOR,LT - LEFT,170,EXBH054-ENG1-COSY,LH,18000H RADIATOR CHANGE LH,ENG1-COSY,170ENG1-COSYLH
1701353RI,1701353RI,1353,RI,6040,170,1353 - RADIATOR,RI - RIGHT,170,EXBH054-ENG2-COSY,RH,18000H RADIATOR CHANGE RH,ENG2-COSY,170ENG2-COSYRH
1704050LT,1704050LT,4050,LT,6040,170,4050 - FINAL DRIVE,LT - LEFT,170,EXBH054-UCRG-FIDV-FIDL,LH,18000H FINAL DRIVE CHANGE LH,UCRG-FIDV-FIDL,170UCRG-FIDV-FIDLLH
1704050RI,1704050RI,4050,RI,6040,170,4050 - FINAL DRIVE,RI - RIGHT,170,EXBH054-UCRG-FIDV-FIDR,RH,18000H FINAL DRIVE CHANGE RH,UCRG-FIDV-FIDR,170UCRG-FIDV-FIDRRH
1704159LT,1704159LT,4159,LT,6040,170,4159 - IDLER/IDLER WHEEL,LT - LEFT,170,EXBH054-UCRG-TCID,LH,10000H IDLER CHANGE LH,UCRG-TCID,170UCRG-TCIDLH
1704159RI,1704159RI,4159,RI,6040,170,4159 - IDLER/IDLER WHEEL,RI - RIGHT,170,EXBH054-UCRG-TCID,RH,10000H IDLER CHANGE RH,UCRG-TCID,170UCRG-TCIDRH
1704170RI,1704170RI,4170,RI,6040,170,4170 - TRACK ASSEMBLY,RI - RIGHT,170,EXBH054-TCKS,RH,16000H TRACK CHANGE RH,TCKS,170TCKSRH
1704170LT,1704170LT,4170,LT,6040,170,4170 - TRACK ASSEMBLY,LT - LEFT,170,EXBH054-TCKS,LH,16000H TRACK CHANGE LH,TCKS,170TCKSLH
1704351LF,1704351LF,4351,LF,6040,170,4351 - HYD PROPEL/DRIVE MOTOR,LF - LEFT FRONT,170,EXBH054-HYSY-MOHY,LHF,15000H TRAVEL MOTOR CHANGE LHF,HYSY-MOHY,170HYSY-MOHYLHF
1704351LR,1704351LR,4351,LR,6040,170,4351 - HYD PROPEL/DRIVE MOTOR,LR - LEFT REAR,170,EXBH054-HYSY-MOHY,LHR,15000H TRAVEL MOTOR CHANGE LHR,HYSY-MOHY,170HYSY-MOHYLHR
