Customer Concat,Equipment Description,Service Type,Service Type Description,Component Code,Modifier Code,Serial Prefix,Comp Code Prefix,Mod Code Prefix,AMT Concat
0B9HN4100,16M,N4100,Rear Axle,0,0,0B9H,0,,
0E9YN4100,16M,N4100,Rear Axle,0,0,0E9Y,0,,
0R9HN4100,16M,N4100,Rear Axle,0,0,0R9H,0,,
0B9KN0050,24M,N0050,Blade Assembly,0,0,0B9K,0,,
06D6N6000-LF,6060,N6000-LF,Brake LEFT FRONT,0,0,06D6,0,,
0JRPN6000-LF,777F,N6000-LF,Brake LEFT FRONT,0,0,0JRP,0,,
0TNMN6000-LF,777G,N6000-LF,Brake LEFT FRONT,0,0,0TNM,0,,
0APXN6000-LF,785C,N6000-LF,Brake LEFT FRONT,0,0,0APX,0,,
0MSYN6000-LF,785C,N6000-LF,Brake LEFT FRONT,0,0,0MSY,0,,
02BWN6000-LF,789C,N6000-LF,Brake LEFT FRONT,0,0,02BW,0,,
0FDBN6000-LF,793D,N6000-LF,Brake LEFT FRONT,0,0,0FDB,0,,
0SSPN6000-LF,793F,N6000-LF,Brake LEFT FRONT,0,0,0SSP,0,,
0Z8ZN6000-LF,993K,N6000-LF,Brake LEFT FRONT,0,0,0Z8Z,0,,
0DWCN6000-LF,994H,N6000-LF,Brake LEFT FRONT,0,0,0DWC,0,,
0RJGN6000-LF,D10T,N6000-LF,Brake LEFT FRONT,0,0,0RJG,0,,
0RABN6000-LF,D10T2,N6000-LF,Brake LEFT FRONT,0,0,0RAB,0,,
0DLKN6000-LF,MD6310 - ADS,N6000-LF,Brake LEFT FRONT,0,0,0DLK,0,,
N6000-LF,MD6250,N6000-LF,Brake LEFT FRONT,,,,,,
06P6N1000,6060 FS,N1000,Engine,1000 - ENGINE,00 - (NONE),06P6,1000,00,06P6100000
0JRPN1000,777F,N1000,Engine,1000 - ENGINE,00 - (NONE),0JRP,1000,00,0JRP100000
0TNMN1000,777G,N1000,Engine,1000 - ENGINE,00 - (NONE),0TNM,1000,00,0TNM100000
